R55CHEPSUM,,CHEP Summarization Report,,,,11/13/2023,12:24:44,,,,,,
VF075001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
         010,1010523,11817627,15880857,35402,CBP,CHEP BLOCK (MARK 55),33107103,21,10/12/2023,,,,
         010,1010524,11817628,15880571,36472,CBP,CHEP BLOCK (MARK 55),1538170,13,10/12/2023,,,,
         010,1010529,11817633,15880075,39788,CBP,CHEP BLOCK (MARK 55),4000231357,18,10/10/2023,,,,
         010,1010530,11817634,15880704,39789,CBP,CHEP BLOCK (MARK 55),4000231357,21,10/12/2023,,,,
         010,1010582,11818692,15883135,453129,CBP,CHEP BLOCK (MARK 55),6100104737,19,10/23/2023,,,,
         010,1010677,11820034,15878002,1930007697,CBP,CHEP BLOCK (MARK 55),4000270202,21,10/3/2023,,,,
         010,1010678,11820035,15878087,1930007698,CBP,CHEP BLOCK (MARK 55),4000270202,21,10/3/2023,,,,
         010,1010679,11820036,15878045,1930007699,CBP,CHEP BLOCK (MARK 55),4000270202,21,10/3/2023,,,,
         010,1010680,11820037,15878168,1930007700,CBP,CHEP BLOCK (MARK 55),4000270202,21,10/3/2023,,,,
         010,1010712,11820394,15877650,5080064402,CBP,CHEP BLOCK (MARK 55),6232252,21,10/2/2023,,,,
         010,1010755,11820785,15877724,5080064403,CBP,CHEP BLOCK (MARK 55),6232252,21,10/2/2023,,,,
         010,1010761,11820788,15877642,1180036715,CBP,CHEP BLOCK (MARK 55),6232266,21,10/2/2023,,,,
         010,1010762,11820789,15877680,1180036716,CBP,CHEP BLOCK (MARK 55),6232266,21,10/2/2023,,,,
         010,1010763,11820790,15877607,1180036717,CBP,CHEP BLOCK (MARK 55),6232266,21,10/2/2023,,,,
         010,1010765,11820791,15877374,7830113765,CBP,CHEP BLOCK (MARK 55),6232268,21,9/29/2023,,,,
         010,1010767,11820794,15877359,7830113767,CBP,CHEP BLOCK (MARK 55),6232268,21,9/29/2023,,,,
         010,1010868,11822317,15882198,41X770903,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/18/2023,,,,
         010,1010869,11822318,15882493,41X770921,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/19/2023,,,,
         010,1010882,11822319,15882226,41X770981,CBP,CHEP BLOCK (MARK 55),210934,22,10/18/2023,,,,
         010,1010870,11822320,15882563,41X770922,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/19/2023,,,,
         010,1010877,11822321,15882479,41X770958,CBP,CHEP BLOCK (MARK 55),4000189406,22,10/19/2023,,,,
         010,1010883,11822322,15882623,41X770982,CBP,CHEP BLOCK (MARK 55),210934,22,10/19/2023,,,,
         010,1010871,11822323,15881319,41X770924,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/16/2023,,,,
         010,1010884,11822325,15881370,41X770984,CBP,CHEP BLOCK (MARK 55),210934,22,10/16/2023,,,,
         010,1010890,11822326,15881426,41X771008,CBP,CHEP BLOCK (MARK 55),4000129871,22,10/16/2023,,,,
         010,1010872,11822327,15881731,41X770926,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/17/2023,,,,
         010,1010878,11822328,15881873,41X770960,CBP,CHEP BLOCK (MARK 55),4000189406,22,10/17/2023,,,,
         010,1010885,11822330,15881935,41X771002,CBP,CHEP BLOCK (MARK 55),210934,22,10/17/2023,,,,
         010,1010879,11822332,15884281,41X770966,CBP,CHEP BLOCK (MARK 55),4000189406,22,10/26/2023,,,,
         010,1010873,11822333,15884354,41X770927,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/26/2023,,,,
         010,1010886,11822334,15884445,41X771003,CBP,CHEP BLOCK (MARK 55),210934,22,10/26/2023,,,,
         010,1010891,11822335,15884214,41X771010,CBP,CHEP BLOCK (MARK 55),4000129871,11,10/26/2023,,,,
         010,1010874,11822337,15883977,41X770955,CBP,CHEP BLOCK (MARK 55),4000393638,22,10/25/2023,,,,
         010,1010880,11822338,15884019,41X770978,CBP,CHEP BLOCK (MARK 55),4000189406,22,10/25/2023,,,,
         010,1010887,11822339,15883985,41X771004,CBP,CHEP BLOCK (MARK 55),210934,22,10/25/2023,,,,
         010,1010889,11822347,15880473,41X771006,CBP,CHEP BLOCK (MARK 55),210934,22,10/11/2023,,,,
         010,1010971,11823163,15883303,G08282302,CBP,CHEP BLOCK (MARK 55),6100448368,19,10/23/2023,,,,
         010,1010974,11823166,15877709,G08282305,CBP,CHEP BLOCK (MARK 55),6100448368,19,10/2/2023,,,,
         010,1011013,11823686,15880206,11249854,CBP,CHEP BLOCK (MARK 55),6100151418,8,10/10/2023,,,,
         010,1011029,11824139,15878986,0261-4424888-0578,CBP,CHEP BLOCK (MARK 55),6100515419,4,10/5/2023,,,,
         010,1011030,11824140,15878991,0261-4424888-3811,CBP,CHEP BLOCK (MARK 55),4000170581,4,10/5/2023,,,,
         010,1011031,11824141,15878990,0261-4424888-0556,CBP,CHEP BLOCK (MARK 55),6100138942,2,10/5/2023,,,,
         010,1011032,11824142,15878992,0261-4424888-3808,CBP,CHEP BLOCK (MARK 55),4000124834,3,10/5/2023,,,,
         010,1011033,11824143,15878978,0261-4424888-0580,CBP,CHEP BLOCK (MARK 55),6101018400,4,10/5/2023,,,,
         010,1011034,11824144,15879008,0261-4424888-3801,CBP,CHEP BLOCK (MARK 55),4000069623,4,10/5/2023,,,,
         010,1011035,11824145,15878974,0261-4424888-0594,CBP,CHEP BLOCK (MARK 55),4000039436,4,10/5/2023,,,,
         010,1011036,11824146,15878988,0261-4424888-3803,CBP,CHEP BLOCK (MARK 55),4000069624,2,10/5/2023,,,,
         010,1011037,11824147,15878948,0261-4424888-0579,CBP,CHEP BLOCK (MARK 55),34056055,6,10/5/2023,,,,
         010,1011067,11824520,15878945,0261-4424888-3802,CBP,CHEP BLOCK (MARK 55),34056065,5,10/5/2023,,,,
         010,1011068,11824521,15878939,0261-4424888-0560,CBP,CHEP BLOCK (MARK 55),34056151,6,10/5/2023,,,,
         010,1011070,11824561,15878942,0261-4424888-0589,CBP,CHEP BLOCK (MARK 55),34056159,3,10/5/2023,,,,
         010,1011066,11824564,15878955,0261-4424888-3804,CBP,CHEP BLOCK (MARK 55),34056161,4,10/5/2023,,,,
         010,1011069,11824577,15878965,0261-4424888-3857,CBP,CHEP BLOCK (MARK 55),34056152,4,10/5/2023,,,,
         010,1011071,11824589,15878941,0261-4424888-0588,CBP,CHEP BLOCK (MARK 55),34056162,1,10/5/2023,,,,
         010,1011216,11827036,15879934,62026212,CBP,CHEP BLOCK (MARK 55),6100104078,7,10/10/2023,,,,
         010,1011256,11827422,15877550,95046,CBP,CHEP BLOCK (MARK 55),462056,20,10/2/2023,,,,
         010,1011257,11827423,15880835,95047,CBP,CHEP BLOCK (MARK 55),462056,14,10/12/2023,,,,
         010,1011337,11828884,15880173,P0000944,CBP,CHEP BLOCK (MARK 55),6100344755,13,10/10/2023,,,,
