R55CHEPSUM,,CHEP Summarization Report,,,,11/30/2023,12:43:08,,,,,,
VF060001,,,,,,Page -,1,,,,,,
,,,,,,,,,,,,,.
,,,,,,,Customer CHEP,,,,,,
Branch Plant,Legacy Order Number,JDE Order Number,JDE BOL#,Customer PO#,Pallet Type,Description,Number,Number Of Pallets,Actual Ship Date,Receipt Date,,,
60,6009347,11841458,15879271,81884,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/6/2023,,,,
60,6009347,11841458,15879271,81884,CXY,CHEP CHEMICAL PALLET,4000445826,7,10/6/2023,,,,
60,6009349,11841461,15879275,81886,CBP,CHEP BLOCK (MARK 55),4000445826,4,10/6/2023,,,,
60,6009350,11841521,15879278,81887,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/6/2023,,,,
60,6009351,11841523,15879295,81888,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/6/2023,,,,
60,6009352,11841526,15879297,81889,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/6/2023,,,,
60,6009353,11841528,15879305,81890,CBP,CHEP BLOCK (MARK 55),4000445826,6,10/6/2023,,,,
60,6009354,11841532,15879307,81891,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/6/2023,,,,
60,6009356,11841542,15879311,81893,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/6/2023,,,,
60,6009357,11841544,15879313,81894,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/6/2023,,,,
60,6009358,11841545,15879324,81895,CBP,CHEP BLOCK (MARK 55),4000445826,17,10/7/2023,,,,
60,6009359,11841546,15879325,81896,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/7/2023,,,,
60,6009360,11841547,15879326,81897,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/7/2023,,,,
60,6009361,11841548,15879327,81898,CBP,CHEP BLOCK (MARK 55),4000445826,17,10/7/2023,,,,
60,6009362,11841578,15879328,81899,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/7/2023,,,,
60,6009363,11841579,15878910,81900,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/5/2023,,,,
60,6009364,11841581,15879329,81901,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/7/2023,,,,
60,6009365,11841582,15879332,81902,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/7/2023,,,,
60,6009368,11841646,15879206,81905,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/6/2023,,,,
60,6009370,11841650,15879338,81907,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/7/2023,,,,
60,6009383,11842196,15879343,81930,CBP,CHEP BLOCK (MARK 55),4000445826,14,10/9/2023,,,,
60,6009387,11842200,15879365,81934,CBP,CHEP BLOCK (MARK 55),4000445826,8,10/9/2023,,,,
60,6009389,11842202,15879334,81936,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/7/2023,,,,
60,6009390,11842203,15879333,81937,CBP,CHEP BLOCK (MARK 55),4000445826,21,10/7/2023,,,,
60,6009390,11842203,15879333,81937,CXY,CHEP CHEMICAL PALLET,4000445826,1,10/7/2023,,,,
60,6009391,11842204,15879335,81938,CBP,CHEP BLOCK (MARK 55),4000445826,13,10/7/2023,,,,
60,6009392,11842205,15879366,81939,CBP,CHEP BLOCK (MARK 55),4000445826,17,10/9/2023,,,,
60,6009393,11842206,15879373,81940,CBP,CHEP BLOCK (MARK 55),4000445826,11,10/9/2023,,,,
60,6009394,11842207,15879375,81941,CBP,CHEP BLOCK (MARK 55),4000445826,10,10/9/2023,,,,
60,6009395,11842208,15879403,81942,CBP,CHEP BLOCK (MARK 55),4000445826,5,10/9/2023,,,,
60,6009397,11842210,15879428,81944,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/9/2023,,,,
60,6009398,11842211,15879427,81945,CBP,CHEP BLOCK (MARK 55),4000445826,18,10/9/2023,,,,
60,6009399,11842212,15879452,81946,CBP,CHEP BLOCK (MARK 55),4000445826,2,10/9/2023,,,,
60,6009400,11842213,15879462,81947,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/9/2023,,,,
60,6009401,11842214,15879494,81948,CBP,CHEP BLOCK (MARK 55),4000445826,3,10/9/2023,,,,
60,6009402,11842215,15879496,81949,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/9/2023,,,,
60,6009406,11842219,15879518,81953,CBP,CHEP BLOCK (MARK 55),4000445826,20,10/9/2023,,,,
60,6009407,11842220,15879530,81954,CBP,CHEP BLOCK (MARK 55),4000445826,1,10/9/2023,,,,
