Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,Maxine Baker
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018365806
Invoice Date,25.11.2023
Invoice Period - From/To,19.11.2023,25.11.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13965,13817,97464.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023140121756,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603575000176,06031530,83122,23.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023140121755,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603575000175,06031529,83121,23.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139621734,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603574900021,06031528,83120,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608993,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,10,C,,,6603574800249,06031526,83118,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608992,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,24,C,,,6603574800248,06031525,83117,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608991,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,13,C,,,6603574800247,06031522,83113,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608990,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,7,C,,,6603574800246,06031520,83111,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608989,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603574800245,06031519,83110,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608988,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,19,C,,,6603574800244,06031518,83109,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023139608987,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603574800243,06031516,83108,22.11.2023,21.11.2023,21.11.2023,Cust Transfer Out,,,,,,,,,,,,,,,
