Customer Name,Ventura Foods Fort Worth Plant #60
Address,1100 Defiel Road,Saginaw
Contact,
GLID (Payer) / GLID (Sold To),6100788687,6100788687
Invoice Number,5018231913
Invoice Date,07.10.2023
Invoice Period - From/To,01.10.2023,07.10.2023
Period Days,7
,

Product Name,Product Code,Paying Opening Balance,Paying Closing Balance,Product Days,,,,
48x 40 CHEP Pallets,04001,13225,12480,91620.,,,,


UMI,Product Code,Sender Global Id,Sender External Code,Sender Name,Sender Town,Sender Country,Receiver Global Id,Receiver External Code,Receiver Name,Receiver Town,Receiver Country,Quantity,Transaction Status,Reason Code,Reason Description,Reference1,Reference2,Reference3,Date of Notification,Movement Date,Pricing Date,Transaction Type,Corr/Rev,,,,,,,,,,,,,,
02023118478818,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603559400270,06030281,81742,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478817,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,1,C,,,6603559400271,06030282,81743,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478816,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603559400272,06030283,81744,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478815,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,8,C,,,6603559400273,06030284,81745,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478814,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,3,C,,,6603559400274,06030285,81746,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478813,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,5,C,,,6603559400275,06030286,81747,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478812,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,17,C,,,6603559400276,06030287,81755,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023118478811,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,4,C,,,6603559400277,06030288,81754,04.10.2023,03.10.2023,03.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119508370,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,2,C,,,6603560300197,06030330,81793,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
02023119508369,04001,6100788687,6100788687,Ventura Foods Fort Worth Plant,Saginaw,US,4000445826,4000445826,VF FTW - US COLD #208,FORT WORTH,US,19,C,,,6603560300198,06030331,81795,06.10.2023,04.10.2023,04.10.2023,Cust Transfer Out,,,,,,,,,,,,,,,
